title,url
FY 2015-16,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2015-16.pdf?v=1724654515
FY 2016-17,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2016-17.pdf?v=1724654515
FY 2018-19,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2018-19.pdf?v=1724654515
FY 2019-20,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2019-20.pdf?v=1724654512
FY 2020-21,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2020-21.pdf?v=1724654512
FY 2021-22,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2021-22.pdf?v=1724654511
FY 2022-23,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2022-23.pdf?v=1724654511
FY 2023-24,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/FY_2023-24.pdf?v=1725882645
FY 2024-25,https://cdn.shopify.com/s/files/1/0653/9830/9053/files/Integreted_Annual_Report_2024-25.pdf?v=1756976988
Annual_Return_31_March_2023,https://cdn.shopify.com/s/files/1/0653/9830/9053/files/Annual_Return_31_March_2023.pdf?v=1778307333
Annual_Return_31_March_2024,https://cdn.shopify.com/s/files/1/0653/9830/9053/files/Annual_Return_31_March_2024.pdf?v=1778307334
Annual_Return_31_March_2025,https://cdn.shopify.com/s/files/1/0653/9830/9053/files/Annual_Return_31_March_2025.pdf?v=1778307333
Intimation of BM_30.06.2016,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.06.2019.pdf?v=1724655153
Intimation of BM_30.09.2016,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.09.2019.pdf?v=1724655152
Intimation of BM_31.03.2018,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.03.2020.pdf?v=1724655153
Intimation of BM_31.12.2016,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.12.2019.pdf?v=1724655153
Intimation of Adjournment Meeting_31.03.2020,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.03.2020_0057cbd0-e6f5-40b7-b2c3-ad39bbc4bd62.pdf?v=1724655859
Intimation of BM_30.06.2020,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.06.2020_595da034-9cb0-4eb0-83ca-ff39a770fe35.pdf?v=1724656029
Intimation of BM_30.09.2020,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.09.2020_0a414806-66c5-466d-ad75-09b516014b1a.pdf?v=1724656029
Intimation of BM_31.03.2021,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.03.2021_47e0bbbc-8acd-406f-87ef-da90891705e9.pdf?v=1724656029
Intimation of BM_31.12.2020,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.12.2020_2b08abbb-2eb0-47c6-a572-2d5547c78980.pdf?v=1724656029
Intimation of BM_30.06.2021,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.06.2021.pdf?v=1724656184
Intimation of BM_30.09.2021,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.09.2021.pdf?v=1724656184
Intimation of BM_31.12.2021,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.12.2021.pdf?v=1724656184
Intimation of BM_31.03.2022,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.03.2022.pdf?v=1724656184
Intimation of BM_30.06.2022,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.06.2022.pdf?v=1724656269
Intimation of BM_30.09.2022,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.09.2022.pdf?v=1724656269
Intimation of BM_31.12.2022,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.12.2022.pdf?v=1724656269
Intimation of BM_31.03.2023,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.03.2023.pdf?v=1724656270
Intimation of BM_30.06.2023,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.06.2023.pdf?v=1724656365
Intimation of BM_30.09.2023,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_30.09.2023.pdf?v=1724656365
Intimation of BM_31.12.2023,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_31.12.2023.pdf?v=1724656365
Intimation of BM_23.03.2024,https://cdn.shopify.com/s/files/1/0674/9614/9171/files/Intimation_of_BM_23.03.2024.pdf?v=1724656365
